original,translated
Car,Kereta
Bus,Bas
Taxi,Teksi
Restaurant,Restoran
Thumb,Jari
Leg,Kaki
Hand,Tangan
Apple,Epal
Monday,Isnin
Chair,Kerusi
Window,Tingkap
Book,Buku
Computer,Komputer
Sky,Langit
Water,Air
Cat,Kucing
Dog,Anjing
Table,Meja
Phone,Telefon
Shoe,Kasut
Hat,Topi
Pencil,Pensel
Paper,Kertas
Spoon,Sudu
Fork,Garpu
Plate,Piring
Clock,Jam
Sun,Matahari
Moon,Bulan
Star,Bintang
Ocean,Lautan
Mountain,Gunung
Tree,Pokok
Flower,Bunga
Fish,Ikan
Bird,Burung
Cup,Cawan
Sofa,Sofa
Lamp,Lampu
Door,Pintu
Window,Tingkap
Mirror,Cermin
Bed,Tilam
Pillow,Bantal
Blanket,Selimut
Chair,Kerusi
Bag,Tas
Rain,Hujan
Snow,Salji
Cloud,Awan
Earth,Bumi
Fire,Api
Airplane,Kapal Terbang
Train,Keretapi
Bicycle,Basikal
Motorcycle,Motosikal
